owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
126,61-70,m,9,92,Welsh Terrier,NA,NA,NA,K,2011,w,schwarz/braun,2011-01-06
171,61-70,m,3,31,Berner Sennenhund,NA,NA,NA,I,2009,m,tricolor,2009-10-06
574,61-70,w,2,23,Mischling gross,NA,NA,NA,I,2013,w,schwarz,2013-03-06
695,41-50,m,6,63,Labrador Retriever,NA,NA,NA,I,2012,w,braun,2012-06-06
893,61-70,w,7,71,Mittelschnauzer,NA,NA,NA,I,2010,w,schwarz,2010-05-06
1177,51-60,m,10,102,Shih Tzu,NA,NA,NA,K,2011,m,schwarz/weiss,2011-01-06
4004,61-70,w,3,34,Dackel,NA,NA,NA,K,2010,m,braun,2010-09-06
4050,41-50,w,11,111,Bichon frisé,NA,NA,NA,K,2012,m,weiss,2012-08-06
4054,51-60,w,11,111,Lagotto Romagnolo,NA,NA,NA,I,2016,w,weiss/beige,2016-04-06
4155,61-70,w,9,92,Zwergdackel,NA,NA,NA,K,2002,m,schwarz/grau,2002-02-06
4206,71-80,w,8,82,Havaneser,NA,NA,NA,K,2016,w,hellbraun/weiss,2016-12-06
4215,41-50,w,8,81,Bergamasker,Mischling,NA,NA,I,2004,w,schwarz,2004-11-06
4215,41-50,w,8,81,Border Collie,Mischling,NA,NA,I,2001,m,schwarz,2001-07-06
4239,61-70,w,10,102,Pinscher,Mischling,NA,NA,K,2013,w,braun/schwarz,2013-01-06
4261,71-80,w,7,71,Labrador Retriever,NA,NA,NA,I,2012,w,beige,2012-10-06
4281,61-70,w,9,91,Chihuahua,NA,NA,NA,K,2014,w,schwarz/weiss/braun,2014-03-06
4281,61-70,w,9,91,Chihuahua,NA,NA,NA,K,2011,w,hellbraun,2011-06-06
4726,51-60,m,5,52,Golden Retriever,NA,NA,NA,I,2013,w,creme,2013-05-06
4726,51-60,m,5,52,Mischling klein,NA,NA,NA,K,2007,m,schwarz,2007-01-06
4786,41-50,m,3,34,Weimaraner,NA,NA,NA,I,2013,w,silber,2013-09-06
4801,51-60,m,4,42,Tibetan Spaniel,NA,NA,NA,K,2013,w,schwarz/braun,2013-08-06
4850,51-60,m,4,42,Chihuahua,NA,NA,NA,K,2013,w,beige,2013-04-06
4880,51-60,m,5,52,Leonberger,NA,NA,NA,I,2011,m,goldbraun,2011-02-06
4889,51-60,m,8,82,Shiba Inu,NA,NA,NA,K,2003,w,rotbraun,2003-12-06
5040,61-70,m,10,102,Labrador Retriever,NA,NA,NA,I,2016,w,gelb,2016-11-06
5088,51-60,m,7,72,Labrador Retriever,NA,NA,NA,I,2014,w,schwarz,2014-07-06
5113,61-70,m,11,119,Beagle,NA,NA,NA,K,2010,w,tricolor,2010-01-06
5225,61-70,m,3,34,Lagotto Romagnolo,NA,NA,NA,I,2007,m,braun,2007-10-06
5227,71-80,m,10,101,Border Terrier,NA,NA,NA,K,2011,w,tricolor,2011-03-06
5348,61-70,m,7,74,Magyar Viszla,NA,NA,NA,I,2005,w,gelb,2005-06-06
