owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
80204,51-60,w,11,111,Appenzeller,NA,NA,NA,I,1998,m,dreifarbig
80399,61-70,w,12,123,Appenzeller,Mischling,NA,NA,I,1998,m,tricolor
82293,71-80,w,2,24,Mischling klein,NA,NA,NA,K,1998,w,schwarz
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,1998,w,schwarz/rot
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,1998,w,rot
83136,71-80,m,3,31,Mischling klein,NA,NA,NA,K,1998,m,schwarz
83476,61-70,w,11,119,West Highland White Terrier,NA,NA,NA,K,1998,w,weiss
87819,61-70,w,7,72,Jack Russel Terrier,Mischling,NA,NA,K,1998,m,rot/weiss
89399,71-80,m,12,122,American Staffordshire Terrier,NA,NA,NA,II,1998,m,braun/schwarz
90344,NA,m,NA,NA,Shih Tzu,NA,NA,NA,K,1998,w,schwarz
92357,41-50,w,3,34,Irish Terrier,NA,NA,NA,I,1998,w,braun
